id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
1;БАБУШКА НАДВОЕ СКАЗАЛА;babuschka nadwoje ßkasala;Großmutter hat es zweideutig gesagt.;Noch ist unklar, ob etw. gelingt. ;das is noch gar nicht heraus.;0.0;БАБУШКА НАДВОЕ СКАЗАЛА;babushka nadvoye skazala;Grandmother said it ambiguously.;"It’s very doubtful, undefined; it remains to be seen.";"We’ll see what we’ll see; maybe rain or maybe snow, maybe yes or maybe no";0.0
2;БЕЖАТЬ ВЫСУНУВ ЯЗЫК;beshatl wyßunuw jasyk;Mit hängender Zunge laufen.;In atemloser Eile laufen.;;0.0;БЕЖАТЬ ВЫСУНУВ ЯЗЫК;b’ezhat’ vysunuv yasyk;To run with one’s tongue hanging out. ;To run fast without pausing for breath, to be breathless from running.;"To run as fast as one’s legs can carry one; to run at a breakneck pace";0.0
3;БЕЗ СУЧКА БЕЗ ЗАДОРИНКИ;bes ßutschka bes sadorinki;"Ohne Astloch; ohne rauhe Stelle.";Etw. geht glatt, ohne Komplikationen.;wie am Schnürchen.;0.0;БЕЗ СУЧКА БЕЗ ЗАДОРИНКИ;b’es suchka b’ez zadorinki;Without a snag, without any unevenness or roughness.;"Without any obstruction, difficulty or complication; smoothly.";"Without a hitch; like clockwork";0.0
4;БЕЛАЯ ВОРОНА;belaja worona;Ein weißer Rabe.;"Ein Mensch, der sich deutlich von anderen unterscheidet; eine große Ausnahme.";ein weißer Rabe;1.0;БЕЛАЯ ВОРОНА;b’elaya vorona;A white crow.;"Someone unusual, extraordinary; not like others; an outsider.";Rara avis;0.0
5;БИТЬ В ОДНУ ТОЧКУ;bitj w odnu totschku;Auf einen Punkt schlagen.;Seine gesamten Bemühungen auf die Erreichung eines Zieles konzentrieren.;;0.0;БИТЬ В ОДНУ ТОЧКУ;bit’ v odnu tochku;To keep striking the same spot. ;To concentrate one’s efforts on one thing in seeking to attain a specific goal.;;0.0
6;БИТЬ КЛЮЧОМ;bitj kljutschom;Wie eine Quelle sprudeln.;"Stürmisch hervorbrechen; pulsieren.";;0.0;БИТЬ КЛЮЧОМ;bit’ kl’uchom;To well up, to bubble. ;"To be in full operation; to proceed in a lively manner.";"To boil over; to be in full swing";0.0
7;БИТЬСЯ КАК РЫБА ОБ ЛЁД;bitza kak ryba ob ljod;Wie ein Fisch ans Eis schlagen.;Sich vergeblich um Befreiung aus einer ausweglosen Lage bemühen.;sich abmühen / zappeln, wie der Fisch auf dem Trocknen;0.0;БИТЬСЯ КАК РЫБА ОБ ЛЁД;bittsa kak ryba ob l’od;To beat against the ice like a fish.;To struggle desperately.;To pull the devil by the tail;0.0
8;БЛУЖДАТЬ В ПОТЁМКАХ;blushdatj w potjomkach;Im Finstern umherirren.;"Sich in einer Sache schlecht auskennen; etw. aufs Geratewohl tun.";im Dunkeln tappen;0.0;БЛУЖДАТЬ В ПОТЁМКАХ;bluzhdat’ v pot’omkakh;To grope in the dark.;"To be without knowledge in some particular matter; to understand something vaguely; to act blindly";To be in the dark about something;0.5
9;БОЛЬНОЕ МЕСТО;boljnoje meßto;Die kranke Stelle.;"Das, was am stärksten beunruhigt; die Ursache von Sorgen und Kümmernissen.";der wunde Punkt;0.0;БОЛЬНОЕ МЕСТО;bol’noye m’esto;A sore spot.;"A matter that easily upsets one or about which one is sensitive; something that causes anxiety.";"A sore/tender spot; a touchy subject";1.0
10;БОЛЬНОЙ ВОПРОС;boljnoj woproß;Eine schlimme Frage.;Ein herangereiftes, doch schwer zu lösendes Problem.;"eine heikle Frage; ein wunder Punkt.";0.5;БОЛЬНОЙ ВОПРОС;bol’noy vopros;A sore question.;An urgent problem that is difficult to solve.;A sore point;0.5
11;БОЯТЬСЯ СОБСТВЕННОЙ ТЕНИ;bojatza ßobßtwennoj teni;Den eigenen Schatten fürchten.;Sich ohne Grund fürchten;;0.0;БОЯТЬСЯ СОБСТВЕННОЙ ТЕНИ;boyattsa sobstvennoi t’eni;To be afraid of one’s own shadow. ;To be unreasonably nervous due to groundless and trivial fears.;To be afraid of one’s own shadow;1.0
12;БРАТЬ кого-либо ЗА СЕРДЦЕ/ДУШУ;bratj (kowo-libo) sa ßerze/duschu;J-n ans Herz greifen.;"J-n stark erregen; j-n tief bewegen";j-m zu Herzen gehen.;0.5;БРАТЬ кого-либо ЗА СЕРДЦЕ/ДУШУ;brat’ za s’ertse/dushu;To take someone by the heart/soul.;"To excite, to move or touch deeply; to cause anxiety.";"To pull at someone’s heartstrings; to touch someone’s heart";0.5
13;БРАТЬ кого-либо ПОД КРЫЛЫШКО;bratj (kowo-libo) pod krylyschko;J-n unter die Fittiche nehmen.;J-n in seine Obhut nehmen.;j-n unter seine Fittiche nehmen.;1.0;БРАТЬ кого-либо ПОД КРЫЛЫШКО;brat’ pod krylyshko;To take someone under one’s little wing.;"To give someone every care and attention; ti put someone under one’s protection. ";To take someone under one’s wing;1.0
14;БРАТЬ С ПОТОЛКА;bratj ß potolka;Von der Decke nehmen.;Ohne ausreichenden Grund behaupten.;aus der Luft greifen.;0.0;БРАТЬ С ПОТОЛКА;brat’ s potolka;To take something from the ceiling.;"To allege something without sufficient factual grounds; to say something without thinking, at random.";"To make something up; to talk through one’s hat";0.0
15;БРАТЬСЯ ЗА УМ;bratza sa um;Nach dem Verstand greifen.;Verständig werden.;zur Vernunft kommen;0.0;БРАТЬСЯ ЗА УМ;brattsa za um;To take oneself by the mind.;"To stop behaving imprudently; to become sensible, reasonable.";To come to one’s senses;0.0
16;БРОСАТЬ КАМЕШКИ В чей-либо ОГОРОД;broßatj kameschki w (tschej-libo) ogorod;Steine in j-s Garten werfen. ;"Über j-n abfällige, ironische Bemerkungen machen; j-m gegenüber beleidigende Anspielungen machen.";;0.0;БРОСАТЬ КАМЕШКИ В чей-либо ОГОРОД;brosat’ kam’eshki v ogorod;To throw pebbles into someone’s kitchen-garden.;"To allude to someone with mild derision; to make an implied criticism.";To give someone a dig;0.0
