id,head_ru,transliteration,literal,meaning,equivalents
1,БАБУШКА НАДВОЕ СКАЗАЛА,babushka nadvoye skazala,Grandmother said it ambiguously.,"It’s very doubtful, undefined; it remains to be seen.","We’ll see what we’ll see; maybe rain or maybe snow, maybe yes or maybe no"
2,БЕЖАТЬ ВЫСУНУВ ЯЗЫК,b’ezhat’ vysunuv yasyk,To run with one’s tongue hanging out. ,"To run fast without pausing for breath, to be breathless from running.",To run as fast as one’s legs can carry one; to run at a breakneck pace
3,БЕЗ СУЧКА БЕЗ ЗАДОРИНКИ,b’es suchka b’ez zadorinki,"Without a snag, without any unevenness or roughness.","Without any obstruction, difficulty or complication; smoothly.",Without a hitch; like clockwork
4,БЕЛАЯ ВОРОНА,b’elaya vorona,A white crow.,"Someone unusual, extraordinary; not like others; an outsider.",Rara avis
5,БИТЬ В ОДНУ ТОЧКУ,bit’ v odnu tochku,To keep striking the same spot. ,To concentrate one’s efforts on one thing in seeking to attain a specific goal.,
6,БИТЬ КЛЮЧОМ,bit’ kl’uchom,"To well up, to bubble. ",To be in full operation; to proceed in a lively manner.,To boil over; to be in full swing
7,БИТЬСЯ КАК РЫБА ОБ ЛЁД,bittsa kak ryba ob l’od,To beat against the ice like a fish.,To struggle desperately.,To pull the devil by the tail
8,БЛУЖДАТЬ В ПОТЁМКАХ,bluzhdat’ v pot’omkakh,To grope in the dark.,To be without knowledge in some particular matter; to understand something vaguely; to act blindly,To be in the dark about something
9,БОЛЬНОЕ МЕСТО,bol’noye m’esto,A sore spot.,A matter that easily upsets one or about which one is sensitive; something that causes anxiety.,A sore/tender spot; a touchy subject
10,БОЛЬНОЙ ВОПРОС,bol’noy vopros,A sore question.,An urgent problem that is difficult to solve.,A sore point
11,БОЯТЬСЯ СОБСТВЕННОЙ ТЕНИ,boyattsa sobstvennoi t’eni,To be afraid of one’s own shadow. ,To be unreasonably nervous due to groundless and trivial fears.,To be afraid of one’s own shadow
12,БРАТЬ кого-либо ЗА СЕРДЦЕ/ДУШУ,brat’ za s’ertse/dushu,To take someone by the heart/soul.,"To excite, to move or touch deeply; to cause anxiety.",To pull at someone’s heartstrings; to touch someone’s heart
13,БРАТЬ кого-либо ПОД КРЫЛЫШКО,brat’ pod krylyshko,To take someone under one’s little wing.,To give someone every care and attention; ti put someone under one’s protection. ,To take someone under one’s wing
14,БРАТЬ С ПОТОЛКА,brat’ s potolka,To take something from the ceiling.,"To allege something without sufficient factual grounds; to say something without thinking, at random.",To make something up; to talk through one’s hat
15,БРАТЬСЯ ЗА УМ,brattsa za um,To take oneself by the mind.,"To stop behaving imprudently; to become sensible, reasonable.",To come to one’s senses
16,БРОСАТЬ КАМЕШКИ В чей-либо ОГОРОД,brosat’ kam’eshki v ogorod,To throw pebbles into someone’s kitchen-garden.,To allude to someone with mild derision; to make an implied criticism.,To give someone a dig
17,БРОСАТЬ СЛОВА НА ВЕТЕР,brosat’ slova na v’et’er,To throw words to the wind.,Not to care what one says; to speak at random or idly.,To talk to the wind; to waste one’s breath.
18,БРОСАТЬСЯ кому-либо В ГЛАЗА,brosattsa v glaza,To throw itself into someone’s eyes.,"To arrest attention, to be striking, to be conspicuous. ",To catch someone’s eye; to stare someone in the face
19,БРОСАТЬСЯ СЛОВАМИ,brosattsa slovami ,To throw one’s words about,"To speak irresponsibly, to use words lightly.",
20,БРОСИТЬ ТЕНЬ на кого-либо/что-либо,brosit’ t’en’,To cast a shadow on someone/something.,To put someone or something in a bad light; to cast suspicion on someone; to blacken someone’s reputation.,To cast a slur on someone’s reputation
21,БЫТЬ МЕЖДУ МОЛОТОМ И НАКОВАЛЬНЕЙ,byt’ m’ezhdu molotom i nakoval’n’ey,To be between the sledge-hammer and the anvil.,To be caught between two equally serious evils or dangers. ,To be between the devil and the deep blue sea
22,БЫТЬ НА ГОЛОВУ ВЫШЕ,byt’ na golovu vyshe,To be a head taller than someone.,To be far superior to someone (mentally or morally).,To be head and shoulders above someone
23,БЫТЬ НА ДРУЖЕСКОЙ НОГЕ,byt’ na druzheskoy nog’e,To be on a friendly foot with someone.,To be on intimate or friendly terms with someone.,To be on a good/friendly footing with someone
24,БЫТЬ НА НОЖАХ,byt’ na nozhakh,To be on the knives. ,To display mutual hostility.,To be at daggers drawn; to be at swords’ points with someone.
25,БЫТЬ НА СЕДЬМОМ НЕБЕ,byt’ na s’ed’mom n’eb’e,To be in the seventh heaven.,"To be overfilled with joy, to be supremely happy or satisfied.",To tread/walk on air; to be in seventh heaven
26,БЫТЬ HE В СВОЕЙ ТАРЕЛКЕ,byt’ n’e v svoyey tar’elk’e,To be not in one’s personal plate.,"To be not quite oneself, to be not quite at ease, to feel uneasy.",To be out of sorts
27,БЫТЬ НЕ ИЗ РОБКОГО ДЕСЯТКА,byt’ n’e iz robkovo des’atka,To be not of the timid dozen.,"Not one to scare easily; not easily frightened, not a coward.",
28,БЫТЬ HE КО ДВОРУ,byt’ n’e ko dvoru,To be unfit for the courtyard.,"To be unsuitable, to be unwanted, not meeting certain requirements; to be an outsider.",Not to fit in
29,БЫТЬ НЕ НА СВОЁМ МЕСТЕ,byt’ n’e na svoyom m’est’e,To be not in one’s own place.,"To be unsuited to the position one fills, to be a misfit.",A round peg in a square hole
30,БЫТЬ ОДЕТЫМ С ИГОЛОЧКИ,byt’ od’etym s igolochki,To be dressed as if straight from the pin. ,"To be dressed in a brand-new suit, dress, etc.",To be dressed up; as neat as a new pin
31,БЫТЬ у кого-либо ПОД БАШМАКОМ,byt’ pod bashmakom,To be under someone’s shoe.,"To be under someone’s predominant influence, to be in complete subjection (usually said of a man who is dominated by his wife).",To get someone by the short hairs; to be hen-pecked; to be under someone’s thumb
32,БЫТЬ СВЯЗАННЫМ СВОИМ СЛОВОМ,byt’ sv’azannym svoim slovom,To be bound by one’s word.,To be faithful in keeping one’s promise.,
33,ВАЛИТЬ В ОДНУ КУЧУ,valit’ v odnii kuchu,To throw everything into one heap.,"To put together, to mix up indiscriminately; to lump everything together.",
34,ВАЛИТЬ С БОЛЬНОЙ ГОЛОВЫ НА ЗДОРОВУЮ,valit’ s bol’noy golovy na zdorovuyu,To shift something from an ailing head onto the one that doesn’t ail.,To blame someone else for one’s own fault.,To lay one’s blame at someone else’s door; to shift the blame on someone
35,ВАЛИТЬСЯ ИЗ РУК,valittsa iz ruk,To fall out of one’s hands.,"Something doesn’t go well because one is awkward, clumsy, doesn’t feel like doing it, or doesn’t have his heart in it.",
36,ВАРИТЬСЯ В СОБСТВЕННОМ СОКУ,varittsa v sobstv’ennom soku,To stew in one’s own juice.,To keep solitary or apart from other people making no use of other people’s knowledge and experience; to work solely by oneself without contact with others; to avoid social relations.,To be aloof; to keep to oneself
37,ВБИВАТЬ В ГОЛОВУ,vbivat’ v golovu,To hammer something into someone’s head.,To make something completely understood by emphatic repetition; to keep reiterating something to make it stick in someone’s mind.,To hammer/drive something into someone’s head
38,ВБИВАТЬ КЛИН между кем-либо,vbivat’ klin,To drive a wedge between two groups of people or two individuals.,"To cause a breach or separation, to split apart; to make people quarrel.",To drive a wedge
39,ВЕРТЕТЬСЯ КАК БЕЛКА В КОЛЕСЕ,v’ert’ettsa kak b’elka v kol’es’e,To turn like a squirrel in a wheel.,"To constantly busy oneself, to toil, to bustle about.",To be constantly on the go; to run/go around in small circles; to run around like a squirrel in a cage; to be as busy as a bee; to be busy as a bee/beaver
