,id,head_ru,transliteration,literal,meaning,equivalents,transparency
7,8,БЛУЖДАТЬ В ПОТЁМКАХ,bluzhdat’ v pot’omkakh,To grope in the dark.,To be without knowledge in some particular matter; to understand something vaguely; to act blindly,To be in the dark about something,0.5
9,10,БОЛЬНОЙ ВОПРОС,bol’noy vopros,A sore question.,An urgent problem that is difficult to solve.,A sore point,0.5
11,12,БРАТЬ кого-либо ЗА СЕРДЦЕ/ДУШУ,brat’ za s’ertse/dushu,To take someone by the heart/soul.,"To excite, to move or touch deeply; to cause anxiety.",To pull at someone’s heartstrings; to touch someone’s heart,0.5
17,18,БРОСАТЬСЯ кому-либо В ГЛАЗА,brosattsa v glaza,To throw itself into someone’s eyes.,"To arrest attention, to be striking, to be conspicuous. ",To catch someone’s eye; to stare someone in the face,0.5
21,22,БЫТЬ НА ГОЛОВУ ВЫШЕ,byt’ na golovu vyshe,To be a head taller than someone.,To be far superior to someone (mentally or morally).,To be head and shoulders above someone,0.5
23,24,БЫТЬ НА НОЖАХ,byt’ na nozhakh,To be on the knives. ,To display mutual hostility.,To be at daggers drawn; to be at swords’ points with someone.,0.5
38,39,ВЕРТЕТЬСЯ КАК БЕЛКА В КОЛЕСЕ,v’ert’ettsa kak b’elka v kol’es’e,To turn like a squirrel in a wheel.,"To constantly busy oneself, to toil, to bustle about.",To be constantly on the go; to run/go around in small circles; to run around like a squirrel in a cage; to be as busy as a bee; to be busy as a bee/beaver,0.5
45,46,ВЗЯТЬ СЕБЯ В РУКИ,vzyat’ s’eb’a v ruki,To take oneself in one’s hands.,"To rouse oneself to renewed activity; to make a determined effort, to regain one’s normal mental state, to regain one’s self-control.",To take hold of oneself; to take oneself in hand; to pull oneself together,0.5
51,52,ВИСЕТЬ В ВОЗДУХЕ,vis’et’ v vozdukh’e,To be hanging in the air.,To be undecided (said of a question or matter); to be in an uncertain position (said of a person).,To be in the air,0.5
54,55,ВИТАТЬ В ОБЛАКАХ,vitat’ v oblakakh,To be hovering in the clouds,"To live in a dream world, to indulge in day-dreams not attending to everyday matters; to let one’s thoughts wander",To be up in the clouds; to go/to be wool-gathering,0.5
56,57,ВКЛАДЫВАТЬ ДУШУ во что-либо,vkladyvat’ dushu,To put one’s soul into something,To put all one’s efforts into an undertaking; to do something whole-heartedly.,To put one’s heart and soul into something,0.5
57,58,ВЛЕТЕТЬ В КОПЕЕЧКУ,vl’et’et’ v kop’eyechku,To fly into a little kopeck.,To involve a great expense; to cost a large sum of money.,To cost a pretty penny,0.5
63,64,ВОЙТИ В ИСТОРИЮ,voyti v istoriyu,To go down in history.,To become famous; to be remembered as a remarkable event.,To make history; to go down in history,0.5
69,70,В ПОДМЁТКИ HE ГОДИТСЯ кому-либо,v podm’otki n’e goditsa,Not fit to be soles of someone’s shoes.,"Someone or something is quite inferior to; not to be compared with, not nearly as good as.",Not fit to hold a candle to someone; to be not a patch on someone.,0.5
71,72,ВСТАВАТЬ С ЛЕВОЙ НОГИ,vstavat’s l’evoy nogi,To get up with one’s left foot foremost.,To be in a bad or an irritable state of mind.,To get out of bed on the wrong side,0.5
72,73,ВСТАВАТЬ С ПЕТУХАМИ,vstavat’s p’etukhami,To rise with the cocks.,"To rise very early in the morning, at daybreak.",To rise with the lark/sun,0.5
84,85,ВЫЕДЕННОГО ЯЙЦА НЕ СТОИТ,vyyed’ennovo yaytsa n’e stoit,Not worth an empty egg-shell.,"Entirely valueless, worth nothing at all.",Not worth a rap/a farthing/a hill of beans.,0.5
96,97,ГАДАТЬ НА КОФЕЙНОЙ ГУЩЕ,gadat’ na kof’eynoy gushche,To tell fortunes by coffee ground, To make groundless statements; to make wild guesses.,To tell someone’s fortune from the tea-leaves in his cup,0.5
97,98,ГЛАДИТЬ кого-либо ПО ГОЛОВКЕ,gladit’ po golovk’e,To stroke someone’s little head.,"To show approval, to gratify; to show indulgence towards, to pander to someone.",To pat someone on the back,0.5
98,99,ГЛАДИТЬ кого-либо ПРОТИВ ШЕРСТИ,gladit’ protiv shersti,To stroke someone against his hair.,"To do or say something contrary to someone’s prejudices, opinions, or habits.",To rub/stroke someone the wrong way,0.5
103,104,ГОЛОДНЫЙ КАК ВОЛК,golodny kak volk,Hungry as a wolf.,Terribly hungry.,Hungry as a hunter,0.5
