,id,head_ru,transliteration,literal,meaning,equivalents,transparency
0,1,БАБУШКА НАДВОЕ СКАЗАЛА,babushka nadvoye skazala,Grandmother said it ambiguously.,"It’s very doubtful, undefined; it remains to be seen.","We’ll see what we’ll see; maybe rain or maybe snow, maybe yes or maybe no",0.0
1,2,БЕЖАТЬ ВЫСУНУВ ЯЗЫК,b’ezhat’ vysunuv yasyk,To run with one’s tongue hanging out. ,"To run fast without pausing for breath, to be breathless from running.",To run as fast as one’s legs can carry one; to run at a breakneck pace,0.0
2,3,БЕЗ СУЧКА БЕЗ ЗАДОРИНКИ,b’es suchka b’ez zadorinki,"Without a snag, without any unevenness or roughness.","Without any obstruction, difficulty or complication; smoothly.",Without a hitch; like clockwork,0.0
3,4,БЕЛАЯ ВОРОНА,b’elaya vorona,A white crow.,"Someone unusual, extraordinary; not like others; an outsider.",Rara avis,0.0
4,5,БИТЬ В ОДНУ ТОЧКУ,bit’ v odnu tochku,To keep striking the same spot. ,To concentrate one’s efforts on one thing in seeking to attain a specific goal.,,0.0
5,6,БИТЬ КЛЮЧОМ,bit’ kl’uchom,"To well up, to bubble. ",To be in full operation; to proceed in a lively manner.,To boil over; to be in full swing,0.0
6,7,БИТЬСЯ КАК РЫБА ОБ ЛЁД,bittsa kak ryba ob l’od,To beat against the ice like a fish.,To struggle desperately.,To pull the devil by the tail,0.0
13,14,БРАТЬ С ПОТОЛКА,brat’ s potolka,To take something from the ceiling.,"To allege something without sufficient factual grounds; to say something without thinking, at random.",To make something up; to talk through one’s hat,0.0
14,15,БРАТЬСЯ ЗА УМ,brattsa za um,To take oneself by the mind.,"To stop behaving imprudently; to become sensible, reasonable.",To come to one’s senses,0.0
15,16,БРОСАТЬ КАМЕШКИ В чей-либо ОГОРОД,brosat’ kam’eshki v ogorod,To throw pebbles into someone’s kitchen-garden.,To allude to someone with mild derision; to make an implied criticism.,To give someone a dig,0.0
16,17,БРОСАТЬ СЛОВА НА ВЕТЕР,brosat’ slova na v’et’er,To throw words to the wind.,Not to care what one says; to speak at random or idly.,To talk to the wind; to waste one’s breath.,0.0
18,19,БРОСАТЬСЯ СЛОВАМИ,brosattsa slovami ,To throw one’s words about,"To speak irresponsibly, to use words lightly.",,0.0
19,20,БРОСИТЬ ТЕНЬ на кого-либо/что-либо,brosit’ t’en’,To cast a shadow on someone/something.,To put someone or something in a bad light; to cast suspicion on someone; to blacken someone’s reputation.,To cast a slur on someone’s reputation,0.0
20,21,БЫТЬ МЕЖДУ МОЛОТОМ И НАКОВАЛЬНЕЙ,byt’ m’ezhdu molotom i nakoval’n’ey,To be between the sledge-hammer and the anvil.,To be caught between two equally serious evils or dangers. ,To be between the devil and the deep blue sea,0.0
25,26,БЫТЬ HE В СВОЕЙ ТАРЕЛКЕ,byt’ n’e v svoyey tar’elk’e,To be not in one’s personal plate.,"To be not quite oneself, to be not quite at ease, to feel uneasy.",To be out of sorts,0.0
26,27,БЫТЬ НЕ ИЗ РОБКОГО ДЕСЯТКА,byt’ n’e iz robkovo des’atka,To be not of the timid dozen.,"Not one to scare easily; not easily frightened, not a coward.",,0.0
27,28,БЫТЬ HE КО ДВОРУ,byt’ n’e ko dvoru,To be unfit for the courtyard.,"To be unsuitable, to be unwanted, not meeting certain requirements; to be an outsider.",Not to fit in,0.0
28,29,БЫТЬ НЕ НА СВОЁМ МЕСТЕ,byt’ n’e na svoyom m’est’e,To be not in one’s own place.,"To be unsuited to the position one fills, to be a misfit.",A round peg in a square hole,0.0
29,30,БЫТЬ ОДЕТЫМ С ИГОЛОЧКИ,byt’ od’etym s igolochki,To be dressed as if straight from the pin. ,"To be dressed in a brand-new suit, dress, etc.",To be dressed up; as neat as a new pin,0.0
30,31,БЫТЬ у кого-либо ПОД БАШМАКОМ,byt’ pod bashmakom,To be under someone’s shoe.,"To be under someone’s predominant influence, to be in complete subjection (usually said of a man who is dominated by his wife).",To get someone by the short hairs; to be hen-pecked; to be under someone’s thumb,0.0
31,32,БЫТЬ СВЯЗАННЫМ СВОИМ СЛОВОМ,byt’ sv’azannym svoim slovom,To be bound by one’s word.,To be faithful in keeping one’s promise.,,0.0
32,33,ВАЛИТЬ В ОДНУ КУЧУ,valit’ v odnii kuchu,To throw everything into one heap.,"To put together, to mix up indiscriminately; to lump everything together.",,0.0
