,id,head_ru,transliteration,literal,meaning,equivalents,transparency
9,10,БОЛЬНОЙ ВОПРОС,boljnoj woproß,Eine schlimme Frage.,"Ein herangereiftes, doch schwer zu lösendes Problem.",eine heikle Frage; ein wunder Punkt.,0.5
11,12,БРАТЬ кого-либо ЗА СЕРДЦЕ/ДУШУ,bratj (kowo-libo) sa ßerze/duschu,J-n ans Herz greifen.,J-n stark erregen; j-n tief bewegen,j-m zu Herzen gehen.,0.5
16,17,БРОСАТЬ СЛОВА НА ВЕТЕР,broßatj ßlowa na weter,Die Worte in den Wind werfen.,"Reden, ohne Beachtung zu finden.",in den Wind reden,0.5
17,18,БРОСАТЬСЯ кому-либо В ГЛАЗА,broßatza (komu-libo) w glasa,Sich j-m in die Augen werfen.,J-s ganze Aufmerksamkeit erregen; besonders augenfällig sein.,j-m in die Augen springen.,0.5
22,23,БЫТЬ НА ДРУЖЕСКОЙ НОГЕ,bytj na drusheßkoj noge,Auf freundschaftlichem Fuße sein.,"Ein enges, freundschaftliches Verhältnis zu j-m haben.",auf freundschaftlichem Fuße mit j-m stehen,0.5
28,29,БЫТЬ НЕ НА СВОЁМ МЕСТЕ,bytj ne na ßwojom meßte,Nicht an seinem Platz sein.,"Nicht die Aufgabe erfüllen können, die man übernommen hat.",nicht am richtigen Platz sein,0.5
30,31,БЫТЬ у кого-либо ПОД БАШМАКОМ,bytj (u kowo-libo) pod baschmakom,Bei j-m unter dem Schuh sein. ,Völlig abhängig von j-m sein; sich widerspruchslos j-m unterordnen.,unter j-s Pantoffel stehen,0.5
31,32,БЫТЬ СВЯЗАННЫМ СВОИМ СЛОВОМ,bytj ßwjasannym ßwoim ßlowom,Durch sein Wort gebunden sein.,Pflichtbewußt sein gegebenes Wort halten.,sich durch sein Wort gebunden fühlen,0.5
37,38,ВБИВАТЬ КЛИН между кем-либо,wbiwatj klin (meshdu kem-libo),Einen Keil zwischen j-n schlagen.,Das gute Einvernehmen zwischen Menschen zerstören.,einen Keil zwischen zwei Menschen treiben,0.5
39,40,ВЕРТИТСЯ у кого-либо НА ЯЗЫКЕ,wertitza (u kowo-libo) na jasyke,Es dreht sich bei j-m auf der Zunge.,"Etw. sagen wollen, was einem im Moment nicht einfällt.",es liegt j-m auf der Zunge,0.5
40,41,ВЕШАТЬ HOC,weschatj noß,Die Nase hängen (lassen),Verzagt / niedergeschlagen sein; Verdruß empfinden,den Kopf hängen lassen,0.5
42,43,ВЗДОХНУТЬ СВОБОДНО,wsdochnutj ßwobodno,Frei aufatmen.,"Sich von Sorgen, Verpflichtungen usw. befreit fühlen.",erleichtert / befreit aufatmen,0.5
46,47,ВЗЯТЬ СЛОВО,wsjatj ßlowo,Das Wort nehmen.,Aus eigenem Antrieb auf einer Versammlung sprechen.,das Wort ergreifen,0.5
52,53,ВИСЕТЬ НА ВОЛОСКЕ,wißetj na woloske,An einem Härchen hängen.,"Sehr bedroht sein, in einer gefahrvollen Lage befindlich.",an einem seidenen Faden hängen,0.5
53,54,ВИСЕТЬ НА ТЕЛЕФОНЕ,wißetj na telefone,Am Telefon hängen.,Ein langes Telefongespräch führen.,an der Strippe hängen,0.5
54,55,ВИТАТЬ В ОБЛАКАХ,witatj w oblakach,Sich in den Wolken aufhalten.,Sich Träumereien hingeben; sich fruchtlosen Phantasien hingeben; nicht auf dem Boden der Tatsachen stehen.,in den Wolken schweben,0.5
66,67,ВОЛОСЫ СТАНОВЯТСЯ ДЫБОМ,woloßy ßtanowjatza dybom,Die Haare sträuben sich.,J-n erfaßt Entsetzen.,j-m stehen die Haare zu Berge; j-m sträuben sich die Haare,0.5
71,72,ВСТАВАТЬ С ЛЕВОЙ НОГИ,wßtawatj ß lewoj nogi,Mit dem linken Fuß aufstehen.,Schlecht gelaunt sein; sehr gereizt sein.,mit dem linken Fuß zuerst aufstehen,0.5
72,73,ВСТАВАТЬ С ПЕТУХАМИ,wßtawatj ß petuchami,Mit den Hähnen aufstehen.,Sehr zeitig aufstehen.,beim ersten Hahnenschrei aufstehen,0.5
77,78,ВЫБИВАТЬ у кого-либо ПОЧВУ ИЗ-ПОД НОГ,wybiwatj (u kowo-libo) potschwu is-pod nog,J-m den Boden unter den Füßen wegschlagen.,J-m das Vertrauen in etw. nehmen; j-s seelisches Gleichgewicht stören.,j-m den Boden unter den Füßen entziehen,0.5
80,81,ВЫБРОСИТЬ ИЗ ГОЛОВЫ,wybroßitj is golowy,Aus dem Kopf hinauswerfen.,"Sich bemühen, j-n oder etw. zu vergessen; eine Absicht aufgeben.",sich etw. aus dem Kopf schlagen,0.5
92,93,ВЫРАСТАТЬ В чьих-либо ГЛАЗАХ,wyrastatj w (tschjich-libo) glasach,In j-s Augen wachsen.,J-s Achtung erringen; von j-m hoch eingeschätzt werden.,in j-s Augen steigen,0.5
93,94,ВЫРВАТЬ что-либо С КОРНЕМ,wyrwatj (tschto-libo) ß kornem,Etw. mit der Wurzel herausreißen. ,Etw. völlig und endgültig vernichten; etw. ausrotten.,etw. an der Wurzel packen; etw. mit Stumpf und Stiel ausrotten,0.5
102,103,ГОЛОВА ИДЁТ КРУГОМ,golowa idjot krugom,Der Kopf geht ringsum.,J-d kann keinen klaren Gedanken fassen (wegen der Vielzahl der Eindrücke).,wegen der Vielzahl der Eindrücke; j-m schwirrt der Kopf,0.5
110,111,ДЕЛАТЬ ИЗ МУХИ СЛОНА,delatj is muchi ßlona,Aus einer Fliege einen Elefanten machen.,Etw. stark übertreiben; etw. Unbedeutendem eine große Bedeutung geben.,aus einer Mücke einen Elefanten machen,0.5
121,122,ДЕРЖАТЬ ЯЗЫК ЗА ЗУБАМИ,dershatj jasyk sa subami,Die Zunge hinter den Zähnen halten.,Schweigen; nichts Unbedachtes äußern; vorsichtig mit seinen Äußerungen sein.,seine Zunge im Zaum halten; den Mund halten,0.5
122,123,ДЕРЖАТЬСЯ В ТЕНИ,dershatza v teni,Sich im Schatten halten. ,Unbemerkt bleiben; bescheiden im Hintergrund stehen.,sich im Hintergrund halten,0.5
128,129,ДОХОДИТЬ ДО чьих-либо УШЕЙ,dochoditj do (tschjich-libo) uschej,Bis zu j-s Ohren gelangen.,J-m bekannt werden.,j-m zu Ohren kommen,0.5
132,133,ДУША УШЛА В ПЯТКИ,duscha uschla w pjatki,Das Herz fuhr (ihm) in die Ferse.,Sehr erschreckt sein durch ein Ereignis; große Furcht empfinden.,das Herz rutschte (ihm) in die Hose,0.5
140,141,ЖИТЬ НА ШИРОКУЮ НОГУ,shitj na schirokuju nogu,Auf breitem Fuß leben.,"Ein reiches, luxuriöses Leben führen.",auf großem Fuß leben,0.5
144,145,ЗАГЛЯДЫВАТЬ В ДУШУ,sagljadywatj w duschu,Einen Blick in die Seele werfen.,J-s geheime Gedanken und Gefühle zu erfahren suchen.,j-m ins Herz sehen,0.5
148,149,ЗАДИРАТЬ HOC,sadiratj noß,Die Nase hochheben.,Überheblich werden; stolz / wichtig tun.,die Nase hochtragen,0.5
149,150,ЗАЙТИ В ТУПИК,sajti w tupik,In eine Sackgasse gehen.,"In eine schwierige, ausweglose Lage geraten.",in eine Sackgasse geraten,0.5
154,155,ЗАМЕСТИ СЛЕДЫ,sameßti ßledy,Die Spuren zuwehen.,"Das, was als Beweisstück dienen könnte, beseitigen.",die Spuren verwischen,0.5
158,159,ЗАТКНУТЬ ЗА ПОЯС,satknutj sa pojaß,Hinter den Gürtel stecken.,J-m überlegen sein; j-n übertreffen.,j-n in die Tasche stecken,0.5
165,166,ЗОЛОТАЯ СЕРЕДИНА,solotaja ßeredina,Die goldene Mitte.,"Eine Handlungsweise, die kein Risiko eingeht.",der goldene Mittelweg,0.5
166,167,ЗОЛОТОЕ ДНО,solotoje dno,Der goldene Boden.,"Eine reiche, unerschöpfliche Einkommensquelle.",eine Goldgrube,0.5
172,173,ИДТИ В ОГОНЬ И В ВОДУ,idti w ogonj i w wodu,Ins Feuer und ins Wasser gehen.,Eine selbstlose Handlung begehen.,für j-n durchs Feuer gehen,0.5
175,176,ИДТИ ПО чьим-либо СТОПАМ,idti po (tschjim-libo) ßtopam,Nach j-s Fuß gehen.,J-m etw. nachmachen; j-s Beispiel folgen.,in j-s Fußstapfen treten,0.5
176,177,ИДТИ ПРОТИВ ТЕЧЕНИЯ,idti protiw tetschenija,Gegen die Strömung gehen.,"Der vorherrschenden Meinung, der Tradition zuwiderhandeln.",gegen den Strom schwimmen,0.5
177,178,ИЗЛИТЬ ДУШУ,islitj duschu,Die Seele ausgießen.,"J-m offen erzählen, was einen bewegt.",j-m sein Herz ausschütten,0.5
185,186,ИСКАТЬ ИГОЛКУ В СТОГЕ СЕНА,ißkatj igolku w ßtoge ßena,Eine Nadel im Heuschober suchen.,Einen kleinen Gegenstand unter einer Fülle anderer Gegenstände suchen; einen Menschen in einer Menschenmenge suchen.,eine Stecknadel im Heuhaufen suchen,0.5
187,188,ИСПИТЬ ЧАШУ ДО ДНА,ißpitj tschaschu do dna,Den Becher bis auf den Grund austrinken.,Kummer bis zum Äußersten leiden müssen.,den Kelch bis zur Neige leeren,0.5
191,192,КАК АРШИН ПРОГЛОТИЛ,kak arschin proglotil,Als hätte er einen Arschin verschluckt.,Er hält sich unnatürlich gerade.,als hätte er einen Stock verschluckt,0.5
198,199,КАК ГРОМ СРЕДИ ЯСНОГО НЕБА,kak grom ßredi jasnowo neba,Wie ein Donner mitten am klaren Himmel.,"Unerwartet, plötzlich.",wie ein Blitz aus heiterem Himmel,0.5
205,206,КАК НА ИГОЛКАХ,kak na igolkach,Wie auf Nadeln.,"Sehr beunruhigt, nervös sein.",wie auf Nadeln sitzen,0.5
206,207,КАК НЕБО ОТ ЗЕМЛИ,kak nebo ot semli,(Ein Unterschied) wie Himmel und Erde.,Sich sehr deutlich voneinander unterscheiden.,ein himmelweiter Unterschied,0.5
209,210,КАК ПО НОТАМ РАЗЫГРАТЬ,kak po notam rasygratj,Wie nach Noten spielen.,Etw. ohne Schwierigkeiten nach einem sorgfältig ausgearbeiteten Plan tun.,es geht wie nach Noten,0.5
211,212,КАК РЫБА В ВОДЕ,kak ryba w wode,Wie ein Fisch im Wasser.,"Sich frei, sehr angenehm fühlen.",sich wie ein Fisch im Wasser fühlen; j-d ist in seinem Element,0.5
213,214,КАК СЕЛЬДЕЙ В БОЧКЕ,kak ßeljdej w botschke,Wie die Heringe im Faß.,"Dicht gedrängt, nicht durchzukommen (durch die Menschenmenge).",wie die Heringe,0.5
217,218,КАМЕНЬ НА СЕРДЦЕ,kamenj na ßerze,Ein Stein auf dem Herzen.,"J-d empfindet ein quälendes, bedrückendes Gefühl.",etw. liegt j-m schwer auf der Seele,0.5
218,219,КАМЕНЬ С ДУШИ СВАЛИЛСЯ,kamenj ß duschi ßwalilßja,Ein Stein ist von der Seele gefallen.,"J-d empfindet ein Gefühl seelischer Erleichterung, der Erlösung von etw. Quälendem.",j-m fiel ein Stein vom Herzen,0.5
222,223,КАТИТЬСЯ ПОД ГОРУ,katitza pod goru,Bergab rollen.,Sich in negativer Weise entwickeln; sich verschlechtern. ,bergab gehen,0.5
239,240,КУРАМ НА СМЕХ,kuram na ßmech,Den Hühnern zum Gelächter.,"Unsinnig, absurd; zum Lachen.",da lachen ja die Hühner,0.5
241,242,ЛЁГКАЯ РУКА,ljochkaja ruka,Eine leichte Hand.,J-d zeichnet sich durch großes Geschick aus.,eine glückliche Hand haben,0.5
247,248,ЛИТЬ ВОДУ НА чью-либо МЕЛЬНИЦУ,litj wodu na (tschju-libo) meljnizu,Wasser auf j-s Mühle gießen.,J-n durch eigenes Tun doch gegen den eigenen Willen unterstützen.,das ist Wasser auf j-s Mühle,0.5
248,249,ЛИТЬ КАК ИЗ ВЕДРА,litj kak is wedra,Wie aus dem Eimer gießen.,"Von starkem, strömendem Regen.",es gießt wie aus Kannen,0.5
249,250,ЛИТЬ КРОКОДИЛОВЫ СЛЁЗЫ,krokodilowy ßljosy,Krokodilstränen vergießen.,"Geheuchelte Tränen weinen, geheucheltes Bedauern bekunden. ",Krokodilstränen weinen,0.5
252,253,ЛОВИТЬ РЫБУ В МУТНОЙ ВОДЕ,lowitj rybu w mutnoj wode,Einen Fisch im trüben Wasser fangen.,Seinen Vorteil aus j-s Bemühungen ziehen; unklare Umstände zum eigenen Vorteil ausnützen.,im trüben fischen,0.5
255,256,ЛОМИТЬСЯ В ОТКРЫТУЮ ДВЕРЬ,lomitza w otkrytuju dwerj,Gewaltsam durch eine offene Tür eindringen.,"Etw. behaupten, was niemand bezweifelt.",offene Türen einrennen,0.5
269,270,МУРАШКИ БЕГАЮТ ПО СПИНЕ,muraschki begajut po ßpine,Ameisen laufen j-m über den Rücken.,"J-n überläuft ein Schauder; j-d hat Schüttelfrost (vor Angst, Erregung).",es läuft j-m kalt über den Rücken,0.5
271,272,МУХИ НЕ ОБИДИТ,muchi ne obidit,Er beleidigt keine Fliege.,"Ein ruhiger, gutmütiger Mensch.",er tut keiner Fliege etw. zuleide,0.5
275,276,НА ВЕС ЗОЛОТА,na weß soIota,Etw. wird mit Gold aufgewogen.,"Sehr kostbar, sehr teuer.",das ist Goldes wert,0.5
279,280,НАДЕЯТЬСЯ КАК НА КАМЕННУЮ ГОРУ,nadejatza kak na kamennuju goru,Vertrauen wie auf einen Berg von Stein.,Sich voll und ganz auf etw. verlassen; auf etw. vertrauen.,felsenfest auf etw. vertrauen,0.5
283,284,НАЗЫВАТЬ ВЕЩИ СВОИМИ ИМЕНАМИ,nasywatj westschi ßwoimi imenami,Die Dinge mit ihren Namen nennen.,Ohne Beschönigung und ohne Nachsicht von j-m oder etw. reden. ,die Dinge beim rechten Namen nennen,0.5
284,285,НАЙТИ СЕБЯ,najti ßebja,Sich selbst finden. ,Die eigenen Neigungen und Interessen verstehen.,zu sich finden,0.5
291,292,НАСОЛИТЬ кому-либо,naßolitj (komu-libo),J-m etw. versalzen.,J-m Unannehmlichkeiten bereiten; j-n ärgern.,j-m die Suppe versalzen,0.5
292,293,НАСТУПАТЬ кому-либо НА ПЯТКИ,naßtupatj (komu-libo) na pjatki,J-m auf die Fersen treten.,J-n einholen; j-m dicht folgen., j-m an die Fersen heften; j-m auf den Fersen sein,0.5
296,297,НЕ ВИДЕТЬ ДАЛЬШЕ СВОЕГО НОСА,ne widetj daljsche ßwojewo noßa,Nicht weiter als die eigene Nase sehen. ,"Beschränkt sein; nicht über den eigenen, engen Horizont hinaussehen können.",nicht über die eigene Nasenspitze hinaussehen,0.5
297,298,НЕ ВИДЕТЬ ЛЕСА ЗА ДЕРЕВЬЯМИ,ne widetj leßa sa derewjami,Den Wald hinter den Bäumen nicht sehen. ,Bei der Fülle von Einzelheiten das Ganze nicht sehen. ,den Wald vor lauter Bäumen nicht sehen,0.5
312,313,НИ ДВА НИ ПОЛТОРА,ni dwa ni poltora,Weder zwei noch anderthalb. ,"Weder gut noch schlecht, unbekannt wie (etw. ist).",nichts Halbes und nichts Ganzes,0.5
313,314,НИ ЖИВ НИ МЁРТВ,ni shiw ni mjortw,Weder lebendig noch tot.,"Sehr deprimiert, sehr erschrocken.",mehr tot als lebendig,0.5
315,316,НИ КОЛА НИ ДВОРА,ni kola ni dwora,Weder einen Pflock noch einen Hof (haben).,Sehr arm sein.,weder Haus noch Hof,0.5
323,324,НОСИТЬ ВОДУ РЕШЕТОМ,noßitj wodu reschetom,Wasser mit dem Sieb tragen.,"Etw. umsonst tun, sich erfolglos abmühen.",mit einem Sieb Wasser schöpfen,0.5
328,329,ОБРАТИТЬСЯ HE ПО АДРЕСУ,obratitza ne po adreßu,Sich nicht an die richtige Adresse wenden.,Sich an den falschen Adressaten wenden.,sich an die falsche Adresse wenden,0.5
332,333,ОКАЗАТЬСЯ МЕЖДУ ДВУХ ОГНЕЙ,okasatza meshdu dwuch ognej,Sich zwischen zwei Feuern befinden.,"Sich in einer Lage befinden, in der Gefahr von beiden Seiten droht.",zwischen zwei Feuer geraten,0.5
334,335,ОКАТИТЬ ХОЛОДНОЙ ВОДОЙ,okatitj cholodnoj wodoj,Mit kaltem Wasser übergießen.,"J-s Eifer, j-s Leidenschaft abkühlen; j-n in Verwirrung stürzen. ",j-m eine kalte Dusche geben,0.5
