,id,head_ru,transliteration,literal,meaning,equivalents,transparency
0,1,БАБУШКА НАДВОЕ СКАЗАЛА,babuschka nadwoje ßkasala,Großmutter hat es zweideutig gesagt.,"Noch ist unklar, ob etw. gelingt. ",das is noch gar nicht heraus.,0.0
2,3,БЕЗ СУЧКА БЕЗ ЗАДОРИНКИ,bes ßutschka bes sadorinki,Ohne Astloch; ohne rauhe Stelle.,"Etw. geht glatt, ohne Komplikationen.",wie am Schnürchen.,0.0
6,7,БИТЬСЯ КАК РЫБА ОБ ЛЁД,bitza kak ryba ob ljod,Wie ein Fisch ans Eis schlagen.,Sich vergeblich um Befreiung aus einer ausweglosen Lage bemühen.,"sich abmühen / zappeln, wie der Fisch auf dem Trocknen",0.0
7,8,БЛУЖДАТЬ В ПОТЁМКАХ,blushdatj w potjomkach,Im Finstern umherirren.,Sich in einer Sache schlecht auskennen; etw. aufs Geratewohl tun.,im Dunkeln tappen,0.0
8,9,БОЛЬНОЕ МЕСТО,boljnoje meßto,Die kranke Stelle.,"Das, was am stärksten beunruhigt; die Ursache von Sorgen und Kümmernissen.",der wunde Punkt,0.0
13,14,БРАТЬ С ПОТОЛКА,bratj ß potolka,Von der Decke nehmen.,Ohne ausreichenden Grund behaupten.,aus der Luft greifen.,0.0
14,15,БРАТЬСЯ ЗА УМ,bratza sa um,Nach dem Verstand greifen.,Verständig werden.,zur Vernunft kommen,0.0
20,21,БЫТЬ МЕЖДУ МОЛОТОМ И НАКОВАЛЬНЕЙ,byyj meshdu molotom i nakowaljnej,Zwischen Hammer und Amboß sein,"Sich in einer solchen Lage befinden, daß dieselbe Gefahr oder Unannehmlichkeit von zwei Seiten droht.",in der Klemme sein,0.0
29,30,БЫТЬ ОДЕТЫМ С ИГОЛОЧКИ,bytj odetym ß igolotschki,Von der Nadel weg gekleidet sein.,"Gerade erst fertiggestellte, neue Kleidung tragen.",wie aus dem Ei gepellt sein,0.0
32,33,ВАЛИТЬ В ОДНУ КУЧУ,walitj v odnu kutschu,Auf einen Haufen wälzen.,Alles ohne Beachtung von Unterschieden vermengen; keinerlei Ordnungsprinzip berücksichtigen.,alles in einen Topf werfen,0.0
34,35,ВАЛИТЬСЯ ИЗ РУК,walitza is ruk,Aus den Händen fallen.,"Nicht klappen (aus Mangel an Geschick, wegen schlechter Laune und aus ähnlichen Gründen).","aus Mangel an Geschick, wegen schlechter Laune und aus ähnlichen Gründen; nicht von der Hand gehen",0.0
38,39,ВЕРТЕТЬСЯ КАК БЕЛКА В КОЛЕСЕ,wertetza kak belka w koleße,Sich wie ein Eichhörnchen im Rad drehen. ,Sehr beschäftigt sein; geschäftig hin und her eilen; Scherereien haben.,weder Rast noch Ruh kennen,0.0
45,46,ВЗЯТЬ СЕБЯ В РУКИ,wsjatj ßebja w ruki,Sich in die Hände nehmen.,"Seine Gefühlsregungen, seine Stimmungen zügeln und zu vollkommener Selbstbeherrschung gelangen.",sich in der Gewalt haben,0.0
55,56,ВИТЬ ВЕРЁВКИ из кого-либо,witj werjowki (is kowo-libo),Seile aus j-m winden.,Großen Einfluß auf j-n haben; mit j-m nach Belieben verfahren; j-n dem eigenen Willen unterordnen.,j-n um den kleinen Finger wickeln,0.0
57,58,ВЛЕТЕТЬ В КОПЕЕЧКУ,wletetj w kopejetschku,In die Kopeke fliegen.,Teuer zu stehen kommen.,das reißt / läuft ins Geld,0.0
61,62,ВОДОЙ HE РАЗОЛЬЁШЬ,wodoj ne rasoljosch,Selbst mit Wasser treibst du sie nicht auseinander.,Sie sind sehr eng befreundet; sie sind unzertrennlich.,sie halten zusammen wie die Kletten,0.0
